Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 093, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.91, valid accuracy: 69.55%, test loss: 1.74, test accuracy: 68.21%
Epochs 094, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.92, valid accuracy: 69.56%, test loss: 1.75, test accuracy: 68.26%
Epochs 095, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.93, valid accuracy: 69.55%, test loss: 1.76, test accuracy: 68.29%
Epochs 096, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.93, valid accuracy: 69.57%, test loss: 1.76, test accuracy: 68.26%
Epochs 097, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.94, valid accuracy: 69.51%, test loss: 1.77, test accuracy: 68.21%
Epochs 098, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.95, valid accuracy: 69.52%, test loss: 1.78, test accuracy: 68.21%
Epochs 099, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.96, valid accuracy: 69.56%, test loss: 1.79, test accuracy: 68.16%
Epochs 100, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.96, valid accuracy: 69.49%, test loss: 1.79, test accuracy: 68.21%
Epochs 101, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.97, valid accuracy: 69.55%, test loss: 1.80, test accuracy: 68.16%
Epochs 102, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.98, valid accuracy: 69.60%, test loss: 1.81, test accuracy: 68.13%
Epochs 103, train loss: 0.00, train accuracy: 100.00%, valid loss: 1.99, valid accuracy: 69.49%, test loss: 1.82, test accuracy: 68.05%
Epochs 104, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.00, valid accuracy: 69.59%, test loss: 1.82, test accuracy: 68.10%
Epochs 105, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.00, valid accuracy: 69.64%, test loss: 1.83, test accuracy: 68.02%
Epochs 106, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.01, valid accuracy: 69.56%, test loss: 1.84, test accuracy: 68.05%
Epochs 107, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.02, valid accuracy: 69.53%, test loss: 1.85, test accuracy: 68.13%
Epochs 108, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.03, valid accuracy: 69.53%, test loss: 1.85, test accuracy: 68.16%
Epochs 109, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.03, valid accuracy: 69.49%, test loss: 1.86, test accuracy: 68.07%
Epochs 110, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.04, valid accuracy: 69.51%, test loss: 1.86, test accuracy: 68.07%
Epochs 111, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.05, valid accuracy: 69.48%, test loss: 1.87, test accuracy: 68.07%
Epochs 112, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.06, valid accuracy: 69.53%, test loss: 1.89, test accuracy: 68.16%
Epochs 113, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.06, valid accuracy: 69.53%, test loss: 1.89, test accuracy: 68.10%
Epochs 114, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.07, valid accuracy: 69.51%, test loss: 1.90, test accuracy: 68.10%
Epochs 115, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.08, valid accuracy: 69.48%, test loss: 1.91, test accuracy: 68.05%
Epochs 116, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.09, valid accuracy: 69.52%, test loss: 1.91, test accuracy: 68.07%
Epochs 117, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.10, valid accuracy: 69.47%, test loss: 1.92, test accuracy: 67.99%
Epochs 118, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.10, valid accuracy: 69.45%, test loss: 1.93, test accuracy: 67.89%
Epochs 119, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.11, valid accuracy: 69.47%, test loss: 1.94, test accuracy: 68.07%
Epochs 120, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.12, valid accuracy: 69.41%, test loss: 1.94, test accuracy: 68.02%
Epochs 121, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.13, valid accuracy: 69.37%, test loss: 1.95, test accuracy: 68.05%
Epochs 122, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.13, valid accuracy: 69.43%, test loss: 1.96, test accuracy: 68.02%
Epochs 123, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.14, valid accuracy: 69.36%, test loss: 1.97, test accuracy: 67.89%
Epochs 124, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.15, valid accuracy: 69.41%, test loss: 1.98, test accuracy: 67.97%
Epochs 125, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.16, valid accuracy: 69.37%, test loss: 1.98, test accuracy: 67.94%
Epochs 126, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.16, valid accuracy: 69.32%, test loss: 1.99, test accuracy: 67.94%
Epochs 127, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.17, valid accuracy: 69.37%, test loss: 2.00, test accuracy: 67.97%
Epochs 128, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.18, valid accuracy: 69.39%, test loss: 2.01, test accuracy: 67.99%
Epochs 129, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.19, valid accuracy: 69.39%, test loss: 2.02, test accuracy: 67.94%
Epochs 130, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.20, valid accuracy: 69.40%, test loss: 2.02, test accuracy: 67.97%
Epochs 131, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.20, valid accuracy: 69.36%, test loss: 2.03, test accuracy: 67.97%
Epochs 132, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.21, valid accuracy: 69.28%, test loss: 2.04, test accuracy: 67.94%
Epochs 133, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.22, valid accuracy: 69.41%, test loss: 2.04, test accuracy: 68.02%
Epochs 134, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.22, valid accuracy: 69.33%, test loss: 2.05, test accuracy: 67.86%
Epochs 135, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.23, valid accuracy: 69.29%, test loss: 2.06, test accuracy: 67.94%
Epochs 136, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.23, valid accuracy: 69.35%, test loss: 2.06, test accuracy: 67.86%
Epochs 137, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.25, valid accuracy: 69.32%, test loss: 2.07, test accuracy: 67.89%
Epochs 138, train loss: 0.00, train accuracy: 100.00%, valid loss: 2.25, valid accuracy: 69.36%, test loss: 2.08, test accuracy: 67.91%
