Reading data...Done
self.train_x.shape (10, 2623, 2772)
self.train_y.shape (10, 2623)
self.train_x_set[0].shape (10, 114, 2772)
self.train_y_set[0].shape (10, 114)
self.test_x.shape (10, 374, 2772)
self.test_y.shape (10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 066, train loss: 0.06, train accuracy: 100.00%, valid loss: 2.01, valid accuracy: 70.72%, test loss: 1.82, test accuracy: 70.27%
Epochs 067, train loss: 0.06, train accuracy: 100.00%, valid loss: 2.00, valid accuracy: 71.27%, test loss: 1.78, test accuracy: 70.51%
Epochs 068, train loss: 0.06, train accuracy: 100.00%, valid loss: 1.97, valid accuracy: 72.14%, test loss: 1.77, test accuracy: 70.72%
Epochs 069, train loss: 0.06, train accuracy: 100.00%, valid loss: 2.12, valid accuracy: 70.40%, test loss: 1.92, test accuracy: 69.12%
Epochs 070, train loss: 0.06, train accuracy: 100.00%, valid loss: 2.08, valid accuracy: 71.04%, test loss: 1.86, test accuracy: 70.78%
Epochs 071, train loss: 0.05, train accuracy: 100.00%, valid loss: 2.16, valid accuracy: 70.32%, test loss: 1.94, test accuracy: 69.55%
Epochs 072, train loss: 0.05, train accuracy: 100.00%, valid loss: 2.08, valid accuracy: 72.12%, test loss: 1.88, test accuracy: 70.51%
Epochs 073, train loss: 0.05, train accuracy: 100.00%, valid loss: 2.16, valid accuracy: 71.07%, test loss: 1.94, test accuracy: 70.51%
Epochs 074, train loss: 0.05, train accuracy: 100.00%, valid loss: 2.13, valid accuracy: 71.16%, test loss: 1.90, test accuracy: 70.67%
Epochs 075, train loss: 0.05, train accuracy: 100.00%, valid loss: 2.19, valid accuracy: 71.19%, test loss: 1.96, test accuracy: 70.24%
Epochs 076, train loss: 0.05, train accuracy: 100.00%, valid loss: 2.24, valid accuracy: 70.72%, test loss: 2.00, test accuracy: 70.67%
Epochs 077, train loss: 0.05, train accuracy: 100.00%, valid loss: 2.21, valid accuracy: 71.46%, test loss: 2.03, test accuracy: 69.60%
Epochs 078, train loss: 0.04, train accuracy: 100.00%, valid loss: 2.25, valid accuracy: 71.03%, test loss: 2.05, test accuracy: 70.40%
