Reading data...Done
(10, 2623, 2772)
(10, 2623)
(10, 374, 2772)
(10, 374)
logit shape:  (?, ?, 7)
Entering training loop
Epochs 074, train loss: 0.05, train accuracy: 98.63%, valid loss: 0.04, valid accuracy: 98.99%, test loss: 0.06, test accuracy: 98.32%
Epochs 075, train loss: 0.02, train accuracy: 99.47%, valid loss: 0.05, valid accuracy: 98.50%, test loss: 0.06, test accuracy: 97.75%
Epochs 076, train loss: 0.02, train accuracy: 99.25%, valid loss: 0.06, valid accuracy: 98.18%, test loss: 0.06, test accuracy: 98.02%
Epochs 077, train loss: 0.00, train accuracy: 99.95%, valid loss: 0.04, valid accuracy: 98.88%, test loss: 0.06, test accuracy: 98.53%
Epochs 078, train loss: 0.00, train accuracy: 99.99%, valid loss: 0.03, valid accuracy: 99.05%, test loss: 0.05, test accuracy: 98.72%
Epochs 079, train loss: 0.07, train accuracy: 97.80%, valid loss: 0.03, valid accuracy: 98.88%, test loss: 0.05, test accuracy: 98.96%
Epochs 080, train loss: 0.02, train accuracy: 99.36%, valid loss: 0.11, valid accuracy: 96.49%, test loss: 0.12, test accuracy: 96.04%
Epochs 081, train loss: 0.03, train accuracy: 99.34%, valid loss: 0.22, valid accuracy: 93.23%, test loss: 0.19, test accuracy: 94.20%
Epochs 082, train loss: 0.02, train accuracy: 99.63%, valid loss: 0.06, valid accuracy: 98.42%, test loss: 0.06, test accuracy: 98.37%
Epochs 083, train loss: 0.03, train accuracy: 98.91%, valid loss: 0.22, valid accuracy: 93.97%, test loss: 0.21, test accuracy: 93.64%
Epochs 084, train loss: 0.02, train accuracy: 99.44%, valid loss: 0.05, valid accuracy: 98.65%, test loss: 0.05, test accuracy: 98.58%
Epochs 085, train loss: 0.02, train accuracy: 99.64%, valid loss: 0.19, valid accuracy: 94.03%, test loss: 0.21, test accuracy: 93.61%
Epochs 086, train loss: 0.02, train accuracy: 99.39%, valid loss: 0.05, valid accuracy: 98.85%, test loss: 0.05, test accuracy: 98.61%
Epochs 087, train loss: 0.00, train accuracy: 99.98%, valid loss: 0.06, valid accuracy: 98.36%, test loss: 0.06, test accuracy: 98.48%
Epochs 088, train loss: 0.01, train accuracy: 99.91%, valid loss: 0.05, valid accuracy: 98.80%, test loss: 0.05, test accuracy: 98.88%
Epochs 089, train loss: 0.02, train accuracy: 99.40%, valid loss: 0.07, valid accuracy: 97.86%, test loss: 0.09, test accuracy: 97.46%
Epochs 090, train loss: 0.00, train accuracy: 99.99%, valid loss: 0.05, valid accuracy: 98.58%, test loss: 0.08, test accuracy: 97.94%
Epochs 091, train loss: 0.04, train accuracy: 99.17%, valid loss: 0.05, valid accuracy: 98.87%, test loss: 0.05, test accuracy: 98.72%
Epochs 092, train loss: 0.00, train accuracy: 100.00%, valid loss: 0.05, valid accuracy: 98.93%, test loss: 0.05, test accuracy: 98.69%
Epochs 093, train loss: 0.02, train accuracy: 99.51%, valid loss: 0.05, valid accuracy: 98.92%, test loss: 0.06, test accuracy: 98.16%
Epochs 094, train loss: 0.02, train accuracy: 99.53%, valid loss: 0.20, valid accuracy: 93.55%, test loss: 0.26, test accuracy: 93.56%
Epochs 095, train loss: 0.00, train accuracy: 99.99%, valid loss: 0.04, valid accuracy: 98.95%, test loss: 0.05, test accuracy: 98.66%
Epochs 096, train loss: 0.02, train accuracy: 99.53%, valid loss: 0.04, valid accuracy: 98.88%, test loss: 0.06, test accuracy: 98.37%
Epochs 097, train loss: 0.00, train accuracy: 99.95%, valid loss: 0.05, valid accuracy: 98.93%, test loss: 0.07, test accuracy: 98.18%
Epochs 098, train loss: 0.00, train accuracy: 100.00%, valid loss: 0.04, valid accuracy: 99.20%, test loss: 0.04, test accuracy: 98.72%
Epochs 099, train loss: 0.04, train accuracy: 98.79%, valid loss: 0.05, valid accuracy: 98.89%, test loss: 0.04, test accuracy: 99.22%
# Best epoch 098, train loss: 0.00, train accuracy: 99.95%, valid loss: 0.04, valid accuracy: 99.20%, test loss: 0.04, test accuracy: 98.72%
